nazev,latinský nazev,popis,vune,pouziti
Smrk ztepilý esenciální olej,Picea abies,"Buďte připraveni na výkyvy počasí i stresovou zátěž, vytvořte si
oázu svěžesti smrkových lesů.","Vůně: svěží, pryskyřičná a dřevitá","Použití: inhalace, masáž, koupel"
Sugandha Kokila esenciální olej,Cinnamomum glaucescens,"Vůně je svěží, kořeněná až bylinná s tóny kafru a skořice.
Příjemně hřejivý charakter oleje rozvolňuje nepříjemné pocity
napětí a podporuje koncentraci.",Po naředění může být aplikován i na pokožku.,
Tea tree esenciální olej,Melaleuca alternifolia,"Poznejte přírodní poklad domorodých Australanů, který si pro své
širokospektré blahodárné účinky jistě najde místo
v každé domácí přírodní lékárničce.","Vůně: silná, lékařská, kafrová, balzámová a
sladkohořká","Použití: inhalace, masáž, obklad"
Topol balzámový BIO esenciální olej,Populus balsamifera,"Objevte pověstný „balzám z Gileádu“ a přesvědčte
se sami o jeho blahodárných účincích.","Vůně: pryskyřičná, svěží, sladká, balzamická,
dřevitá","Použití: inhalace, masáž, koupel"
Túje (Arborvitae) esenciální olej,Platycladus orientalis / Thuja occidentalis,"Posilte svoji odolnost, vyrovnejte energie
těla i mysli, pročistěte a omlaďte svoji
pleť a rozzařte vlasy s podporou svěží túje.","Vůně: svěží, jehličnatá, kafrová","Použití: inhalace, masáž"
Túje esenciální olej,Thuja occidentalis,"Očistěte se od negativních emocí,
vyrovnejte energie těla, mysli a duše a soustřeďte
se na to podstatné s podporou svěží túje.","Vůně: dřevitá, nahořklá, s teplými podtóny kafru a
jehličnanů","Použití: inhalace, péče o pleť a pokožku, obklad"
Tymián borneol esenciální olej,Thymus vulgaris,"Objevte mimořádně povzbuzující účinky tymiánu, jehož nápadná,
typicky kořeněná vůně ve vás posílí odvahu a
morálku. Využijete jej i v kuchyni.","Vůně: svěží, výrazná, kořeněná s bylinnými
tóny","Použití: inhalace, koupel, dochucení pokrmů"
Tymián horský (Mateřídouška) esenciální olej,Thymus serpyllum,"Zbavte se únavy, podpořte obranyschopnost
a nastartujte regeneraci s voňavou a pečující
mateřídouškou, která vám přinese tu pravou vzpruhu pro
tělo i mysl.","Vůně: teplá, bylinná, svěží","Použití: inhalace, masáž, koupel"
Tymián thymol esenciální olej,Thymus vulgaris,"Objevte mimořádně povzbuzující účinky tymiánu, jehož nápadná,
typicky kořeněná vůně ve vás posílí odvahu a
morálku. Využijete jej i v kuchyni.","Vůně: svěží, výrazná, bylinná s kořeněnými
tóny","Použití: inhalace, koupel, dochucení pokrmů"
"Tymián, linalool BIO esenciální olej",Thymus vulgaris,"Využijte v kuchyni všestranný esenciální olej
z tymiánu. Provoní a ochutí jídlo a jako bonus může srovnat vaše
zažívání.","Vůně: teplá, léčivá, kořeněno-bylinná",Použití: dochucení pokrmů
"Tymián, thymol BIO esenciální olej","Pozvedněte své kuchařské umění na novou úroveň
s esenciálním olejem z tymiánu. Coby koření dochutí a
provoní jídlo, navíc může podpořit trávení, dýchací cesty
i vaši sebejistotu.","Vůně: teplá, léčivá, kořeněno-bylinná",Použití: dochucení pokrmů,
Vanilka v jojobě esenciální olej,Vanilla planifolia,"Sladká a příjemně teplá, typická, intenzivní vůně vanilky je po
staletí uznávána jako účinné afrodiziakum.",,
"Vanilka, CO₂ esenciální olej",Vanilla planifolia,"Sladká a příjemně teplá, typická, intenzivní vůně vanilky je po
staletí uznávána jako účinné afrodiziakum.",,
Vavřín esenciální olej,Laurus nobilis,"Těšte se z pocitů vítězství s podporou vavřínu.
Z jeho větví se kdysi pletly věnce právě pro vítěze a jeho svěží
aroma ve vás posílí sebedůvěru a
inspiraci. Chybět nemůže ani
v kuchyni.","Vůně: svěží, kafrová, bylinná s nasládlým, mírně
skořicovým tónem","Použití: inhalace, koupel, dochucení pokrmů"
Vetiver esenciální olej,Vetiveria zizanoides,"Postavte se nohama na zem, zchlaďte žár a uvolněte mysl
namáhanou stresem. Dosáhněte niterné rovnováhy
orientálních mistrů se zemitou vůní vousatky draslavé alias vetiveru.","Vůně: hluboká, omamná, zemitá, těžká","Použití: inhalace, masáž, parfém"
Voňatka esenciální olej,Cymbopogon Nardus Jamarosa Oil,"Vůně je travnatá, sladce květinová s podtóny růží. Na psychické
úrovni navozuje pocity svobody a volnosti.",,
Vřesna bahenní BIO esenciální olej,Myrica gale,"Seznamte se s „medicínou“ severoamerických indiánů a na vlastní
kůži se přesvědčte o jejích blahodárných
účincích.","Vůně: svěží, bylinná, dřevitá, nasládlá","Použití: inhalace, péče o pleť a pokožku, přírodní
repelent"
Ylang ylang esenciální olej,Cananga odorata,"Zamilujte se do afrodiziakálního ylang ylang, jehož
okouzlující květy vás zbaví úzkosti a strachu, opečují tělo a
probudí vášeň.","Vůně: květinová, sladká, balzámová
s kořenitými tóny","Použití: parfém, masáž, koupel"
Ylang ylang Extra esenciální olej,Cananga odorata,"Podlehněte vábení smyslného ylang ylangu extra.
Oživíte s ním partnerskou vášeň, omladíte pleť,
zharmonizujete tělo i psychiku a rozeženete únavu, úzkosti
a chmury.","Vůně: sladká, květová, exotická, opojná","Použití: inhalace, masáž, koupel"
Yuzu esenciální olej,Citrus junos,"Dopřejte své problematické nebo zralé
pleti voňavou péči orientálního citrusu yuzu. Navíc podpoří vaše
dýchání a rozpustí stres.","Vůně: teplá, sladká, balzámová, citrusová","Použití: péče o pleť a pokožku, masáž, inhalace"
Yzop esenciální olej,Hyssopus officinalis,"Esenciální olej z yzopu vás spojí se záměrem ochrany, duchovní
očisty, ale i posily. Jeho aroma je bylinné, kafrové, teplé, sladké a
mírně kořeněné.",,
Zanthoxylum esenciální olej,Zanthoxylum armatum,"Zanthoxylum vyniká svěží květinovou vůní s lehkým nádechem
kořeněného a hořkého aroma. Mnozí si tento esenciální olej oblíbili a
používají ho při potřebě uvolnění a navození pocitu klidu, zklidnění
a meditaci.",,
Zázvor čínský esenciální olej,Boesenbergia pandurata,"Poznejte unikátní antioxidant, který vás všestranně
opečuje, příjemně povzbudí a podpoří
vaši smyslnost.","Vůně: kořenitá, bylinná, mentolová, jemně
květinová","Použití: masáž, obklad, koupel"
Zázvor esenciální olej,Zingiber officinalis,"Vneste do svého života hřejivé teplo, které vás
povzbudí k akci a podpoří sebedůvěru.
Zázvor je navíc vynikající přísadou v kuchyni.","Vůně: kořenitá, pronikavá, teplá, dřevitá","Použití: inhalace, obklad, dochucení pokrmů"
"Zázvor RAW, CO₂ esenciální olej",Zingiber officinalis,"Pusťte si k sobě zářivé, hřejivé teplo s typickou
rozveselující vůní zázvoru, které vás povzbudí k akci
a podpoří vaši sebedůvěru.","Vůně: kořenitá, teplá, dřevitá","Použití: inhalace, masáž, koupel"
Zázvorová tráva esenciální olej,Cymbopogon martinii var. sofia,"Poznejte na vlastní kůži povznášející sílu
orientální byliny, která vrátí vaše emoce do rovnováhy a
zároveň skvěle podpoří vaši vitalitu.","Vůně: svěží, zemitá, citronová","Použití: inhalace, masáž, koupel"
Zlatobýl kanadský BIO esenciální olej,Solidago canadensis,"Dopřejte si blahodárnou dávku zklidnění, útěchy a
smyslnosti z otevřených plání rozkvetlých kanadských
prérií.","Vůně: plná, dřevitá, bylinná, nasládlá, smyslná","Použití: inhalace, masáž, koupel"
